,Headline,Date,Day,Month,Year,Category,Posted by
32,Want to Prevent Data Emergencies? Clean as You Go,2024-03-18,18,3,2024,Data Engineering, ODSC Community
33,Are All Monoliths Bad?,2024-03-04,4,3,2024,Data Engineering, ODSC Community
34,The Future of the Single Source of Truth is an Open Data Lake,2024-02-12,12,2,2024,Data Engineering, ODSC Community
35,Remembering the 2023 Data Engineering Summit in Videos,2024-02-09,9,2,2024,Data Engineering, ODSC Team
36,11 Open-Source Data Engineering Tools Every Pro Should Use,2024-02-01,1,2,2024,Data Engineering, ODSC Team
37,What Does a Data Engineering Job Involve in 2024?,2024-01-22,22,1,2024,Data Engineering, ODSC Team
38,How to Shift from Data Science to Data Engineering,2024-01-09,9,1,2024,Data Engineering, ODSC Team
39,10 Data Engineering Topics and Trends You Need to Know in 2024,2024-01-02,2,1,2024,Data Engineering, ODSC Team
40,Announcing the 2024 Data Engineering & Ai X Innovation Summits,2023-12-18,18,12,2023,Data Engineering, ODSC Team
41,"Zero-ETL, ChatGPT, and the Future of Data Engineering",2023-12-04,4,12,2023,Data Engineering, ODSC Community
42,Data Engineering vs Machine Learning Pipelines,2023-11-02,2,11,2023,Data Engineering, ODSC Community
43,5 Data Engineering and Data Science Cloud Options for 2023,2023-04-20,20,4,2023,Data Engineering, ODSC Team
44,Highlights from the Data Engineering Summit Now Available On Demand,2023-01-25,25,1,2023,Data Engineering, ODSC Team
45,Highlighting a Few Exciting Sessions Coming to the Data Engineering Summit on Jan 18,2023-01-09,9,1,2023,Data Engineering, ODSC Team
46,The 30 Most Useful Python Libraries for Data Engineering,2023-01-05,5,1,2023,Data Engineering, Sheamus McGovern
47,Why We’re Hosting the Data Engineering Summit this January 18th,2023-01-03,3,1,2023,Data Engineering, ODSC Team
48,First Speakers Announced for the Data Engineering Summit on Jan 18,2022-12-28,28,12,2022,Data Engineering, ODSC Team
49,Ten Areas of Data Engineering Every Team Should Excel At,2022-12-22,22,12,2022,Data Engineering, Sheamus McGovern
50,Announcing the Free Virtual Data Engineering Summit January 18th,2022-12-09,9,12,2022,Data Engineering, ODSC Team
51,These Companies are Hiring Data Engineers Right Now,2022-10-14,14,10,2022,Data Engineering, ODSC Team
52,How to Start Your Next Data Engineering Project,2022-06-29,29,6,2022,Data Engineering, ODSC Community
53,A Day in the Life of a Data Engineer,2022-05-09,9,5,2022,Data Engineering, ODSC Community
54,Top 40 Skills and Tools for Data Analysts and the Emergence of the Data Engineering Analyst Roles,2022-03-29,29,3,2022,Data Engineering, ODSC Team
55,40 Data Engineering Platforms & Skills Needed in 2022,2022-01-25,25,1,2022,Data Engineering, ODSC Team
56,Top 10 Skills for Data Engineers in 2021,2021-01-11,11,1,2021,Data Engineering, ODSC Team
57,Data Engineer Jobs on the Rise – Skills Needed and Who’s Hiring,2020-10-12,12,10,2020,Data Engineering, Sheamus McGovern
58,Top Data Engineering Talks from ODSC East 2020,2020-05-19,19,5,2020,Data Engineering, ODSC Team
59,How to Become a Data Engineer,2019-12-04,4,12,2019,Data Engineering," Elizabeth Wallace, ODSC"
60,12 Must-Use Datasets for Data Visualization in 2024,2024-09-06,6,9,2024,Data Visualization, ODSC Team
61,Do We Still Need Data Visualization Experts When We Have Generative AI?,2024-08-05,5,8,2024,Data Visualization, ODSC Team
62,The Impact of Data Visualization Tools on Brand Strategy Development,2024-06-10,10,6,2024,Data Visualization, ODSC Community
63,What is a Data Visualization Grammar?,2024-03-27,27,3,2024,Data Visualization, ODSC Community
64,7 Cool Data Visualizations Using D3 and Vega,2024-03-20,20,3,2024,Data Visualization, ODSC Team
65,"Data Synthesis, Augmentation, and NLP Insights with LLMs",2024-03-11,11,3,2024,Data Visualization, ODSC Community
66,Harnessing the Power of GIS and Python for Property Value Analysis at Scale,2024-02-27,27,2,2024,Data Visualization, Michael Dezube
67,Photo Mosaics with Nearest Neighbors: Machine Learning for Digital Art,2023-12-08,8,12,2023,Data Visualization, ODSC Community
68,7 Trending Open Source Tools for Data Visualization in 2023,2023-10-19,19,10,2023,Data Visualization, ODSC Community
69,Mastering the Art of Data Visualization: Tips & Techniques,2023-10-05,5,10,2023,Data Visualization, ODSC Community
70,GraphReduce: Using Graphs for Feature Engineering Abstractions,2023-09-14,14,9,2023,Data Visualization, ODSC Community
71,Data Morph: Moving Beyond the Datasaurus Dozen,2023-09-05,5,9,2023,Data Visualization, ODSC Community
72,Visualization for Clustering Methods,2023-08-28,28,8,2023,Data Visualization, ODSC Community
73,"Graph Viz: Exploring, Analyzing, and Visualizing Graphs and Networks with Gephi and ChatGPT",2023-03-30,30,3,2023,Data Visualization, ODSC Community
74,How to Deploy a Deep Learning Model with Jina (and Design a Kitten Along the Way),2023-03-10,10,3,2023,Data Visualization, ODSC Community
75,Multimodal Visual Question Answering with BLIP-2 and Jina,2023-03-10,10,3,2023,Data Visualization, ODSC Community
76,11 Open Source Data Exploration Tools You Need to Know in 2023,2023-02-06,6,2,2023,Data Visualization, ODSC Team
77,3 Tips for Using Python Libraries to Create 3D Animation,2022-12-05,5,12,2022,Data Visualization, April Miller
78,Is Data Processing Capacity Important When Choosing Data Visualization Tools for Your Business?,2022-11-29,29,11,2022,Data Visualization, April Miller
79,How to Choose the Right Data Visualization Tools for Your Business,2022-11-15,15,11,2022,Data Visualization, ODSC Community
80,A Beginner’s Guide to ggplot2,2022-09-23,23,9,2022,Data Visualization, ODSC Community
81,How to Easily Create Your First Animated Visualization in Python,2022-09-09,9,9,2022,Data Visualization, ODSC Community
82,Visualizing Decision Trees with Pybaobabdt,2022-09-02,2,9,2022,Data Visualization, ODSC Community
83,Embedding Interactive Python Plots on the Web,2022-06-28,28,6,2022,Data Visualization, ODSC Community
84,5 Ways to Supercharge Your Data Communications,2022-05-23,23,5,2022,Data Visualization, ODSC Community
85,When SQL is Not the Best Answer: Identifying “Graph-y” Problems and When Graphs Can Help,2022-03-18,18,3,2022,Data Visualization, ODSC Community
86,12 Excellent Datasets for Data Visualization in 2022,2022-02-03,3,2,2022,Data Visualization," Elizabeth Wallace, ODSC"
87,ggplot2: a Framework for Thinking with Graphs,2022-02-01,1,2,2022,Data Visualization, ODSC Community
88,Interactive Geographical Maps with GeoPandas,2021-12-23,23,12,2021,Data Visualization, Parul Pandey
89,Render Interactive Plots with Matplotlib,2021-12-16,16,12,2021,Data Visualization, Parul Pandey
90,5 Must-Know Data Visualization Techniques for Any Data Science Professional,2021-12-13,13,12,2021,Data Visualization, April Miller
91,"Teddy Petrou on Data Visualization Use Cases, Dash 2.0, and the Pros of Seaborn",2021-11-22,22,11,2021,Data Visualization, ODSC Team
92,Top 5 Reasons to Use Seaborn for Data Visualizations,2021-11-17,17,11,2021,Data Visualization, ODSC Community
93,Creating Word Clouds from Text,2021-10-22,22,10,2021,Data Visualization, ODSC Community
94,Animations with Matplotlib,2021-09-29,29,9,2021,Data Visualization, Parul Pandey
95,"GANs: A Brief Theory and Practice, and Image-to-Image Conversion with Pix2Pix",2021-09-13,13,9,2021,Data Visualization, ODSC Community
96,Beautiful Graph Visualization with nxviz,2021-08-23,23,8,2021,Data Visualization, ODSC Community
97,Exploring GUI of Tableau Prep Builder ,2021-08-09,9,8,2021,Data Visualization, ODSC Community
98,Start Your Network Analysis Training with These Videos,2021-08-02,2,8,2021,Data Visualization, ODSC Team
99,Optimizing PyTorch Performance: Batch Size with PyTorch Profiler,2021-07-16,16,7,2021,Data Visualization, ODSC Community
100,How to Pivot and Plot Data With Pandas,2021-05-27,27,5,2021,Data Visualization, ODSC Community
101,4 Simple Ways to Map Vehicle Location Data with OmniSci Free,2021-03-25,25,3,2021,Data Visualization, ODSC Community
102,Data Visualization for Data Scientists – Choosing the Right Tool for the Job,2021-02-04,4,2,2021,Data Visualization, ODSC Community
103,Why Use D3 for Data Visualization?,2021-01-27,27,1,2021,Data Visualization, Bill Shander
104,Creating A Data-Driven Retail Expansion Framework,2021-01-21,21,1,2021,Data Visualization, Jordan Bean
105,How Good are the Visualization Capabilities of Microsoft Power BI?,2020-12-21,21,12,2020,Data Visualization, ODSC Community
106,COVID Tracking Project Enhancements to Johns Hopkins Case/Fatality Data,2020-12-07,7,12,2020,Data Visualization, Steve Miller
107,Why TensorFlow Will Stand Out on Your Resume in 2021,2020-11-23,23,11,2020,Data Visualization," Alex Landa, ODSC"
108,How to Make an Animated Gif Fit for /r/dataisbeautiful,2020-10-16,16,10,2020,Data Visualization, ODSC Community
109,Visual Analysis of Music Taste Using Spotify’s API & Seaborn in Python,2020-06-24,24,6,2020,Data Visualization, ODSC Community
110,Building a COVID-19 Dashboard with Tableau,2020-06-22,22,6,2020,Data Visualization, ODSC Community
111,What Happens to Housing Prices If People Leave a City?,2020-06-18,18,6,2020,Data Visualization, Jordan Bean
112,Designing a Practical and Compelling Data Visualization,2020-05-18,18,5,2020,Data Visualization, Jordan Bean
113,Data Visualization and Dashboards in the Era of Covid-19,2020-04-08,8,4,2020,Data Visualization, ODSC Community
114,Getting Started with Data Visualization Library in Python: Matplotlib,2020-03-31,31,3,2020,Data Visualization, ODSC Community
115,Has Progress in America Peaked?,2020-03-23,23,3,2020,Data Visualization, Jordan Bean
116,Visualizing Machine Learning Datasets with Google’s FACETS,2020-02-02,2,2,2020,Data Visualization, Parul Pandey
117,Visualizing Bias in Data Using Embedding Projector,2020-02-02,2,2,2020,Data Visualization, Parul Pandey
118,Interpreting the 2020 Puerto Rico Earthquake Swarm with Data Science,2020-01-26,26,1,2020,Data Visualization, Juan De Dios Santos
119,Local Regression in Python,2019-11-15,15,11,2019,Data Visualization, Allen Downey
120,A New Method of Data Mapping – Dimensionality Reduction + Network Theory,2019-10-18,18,10,2019,Data Visualization, ODSC Community
121,Parallel Plots for Visualizing Relationships with ggplot2 and ggforce,2019-10-11,11,10,2019,Data Visualization, Jacey Heuer
122,Why We Need Graph Analytics for Real-World Predictions,2019-09-30,30,9,2019,Data Visualization, ODSC Team
123,Interpretable Knowledge Discovery Reinforced by Visual Methods,2019-09-25,25,9,2019,Data Visualization, Boris Kovalerchuk
124,Data Visualization for Academics,2019-08-22,22,8,2019,Data Visualization, Allen Downey
125,Telling Human Stories with Data,2019-08-16,16,8,2019,Data Visualization, Alan Rutter
126,Creating Multiple Visualizations in a Single Python Notebook,2019-04-10,10,4,2019,Data Visualization, Kailen Santos
127,3 Things Your Boss Won’t Care About in Your Data Visualizations,2019-04-01,1,4,2019,Data Visualization," Elizabeth Wallace, ODSC"
128,Introduction to R Shiny,2019-03-07,7,3,2019,Data Visualization, Alyssa Columbus
129,Data Visualization and the Data Science Workflow,2019-02-28,28,2,2019,Data Visualization," Elizabeth Wallace, ODSC"
130,7 Tips for Visual Search at Scale,2019-02-06,6,2,2019,Data Visualization, Pat Lasserre
131,Insights Through Geospatial Data Visualization,2018-10-29,29,10,2018,Data Visualization," Daniel Gutierrez, ODSC"
132,Advantages and Best Uses of Four Popular Data Visualization Tools,2018-10-02,2,10,2018,Data Visualization, Paxtyn Merten
133,Training and Visualising Word Vectors,2018-08-28,28,8,2018,Data Visualization, Priya Dwivedi
134,Isaac Reyes on the Key Principles of Data Storytelling at ODSC East 2018,2018-08-20,20,8,2018,Data Visualization, Alex Amari
135,Ready Made Plots Make Work Easier,2018-05-24,24,5,2018,Data Visualization, John Mount
136,Data Visualization Throughout the Data Science Workflow: Part 1,2018-05-23,23,5,2018,Data Visualization, Lindsay Brin
137,Introducing GapminderVR: Data Visualization in Virtual Reality,2018-04-26,26,4,2018,Data Visualization, Daniel Lemire
138,Moving Beyond Data Visualization to Data Applications,2018-03-27,27,3,2018,Data Visualization, Exaptive Team
139,How I Learned to Stop Worrying and Love the Graph: Hospital Social Network Analysis,2018-03-14,14,3,2018,Data Visualization, Michael Zelenetz
140,SEINFELD CHARACTERS – A POST ABOUT NOTHING,2018-02-24,24,2,2018,Data Visualization, Scott Stoltzman
141,Random Forest Classification of Mushrooms,2018-02-21,21,2,2018,Data Visualization, Scott Stoltzman
142,Deep Learning for Disaster Recovery: Automatic Detection of Flooded Roads,2018-02-20,20,2,2018,Data Visualization, Jack Kwok
143,Data Visualization – Part 3,2018-02-11,11,2,2018,Data Visualization, Scott Stoltzman
144,Scratch Viz – Documentation and Usage,2018-02-06,6,2,2018,Data Visualization, Jonathan Dinu
145,"2017 Data Science in Review, Topic Modeling",2018-02-01,1,2,2018,Data Visualization," Diego Arenas, ODSC"
146,Watermain Breaks in the City of Toronto,2018-01-30,30,1,2018,Data Visualization, Eugene Joh
147,Plotting author statistics for Git repos using Git of Theseus,2018-01-17,17,1,2018,Data Visualization, Erik Bernhardsson
148,Finding packages,2018-01-15,15,1,2018,Data Visualization,
149,"Happy, Healthy, Hungry. Mapping San Francisco Restaurant Cleanliness",2018-01-15,15,1,2018,Data Visualization, Jonathan Dinu
150,UNHCR Refugee Data Visualized,2017-12-24,24,12,2017,Data Visualization, Eugene Joh
151,Data Visualization for Situational Awareness,2017-12-16,16,12,2017,Data Visualization, Chloe Cooke-Warren
152,What makes a data visualization successful?,2017-12-14,14,12,2017,Data Visualization, Evelyn Muenster
153,Visual Analytics of Instagram’s #gopro hashtag with AI,2017-12-05,5,12,2017,Data Visualization, Shashank Gupta
154,Time Series Analysis with Generalized Additive Models,2017-11-15,15,11,2017,Data Visualization, Algobeans.com
155,The retreat from religion is accelerating,2017-11-12,12,11,2017,Data Visualization, Allen Downey
156,Data Visualization – Part 2,2017-11-12,12,11,2017,Data Visualization, Scott Stoltzman
157,The Cocktail Guide v2.0,2017-11-05,5,11,2017,Data Visualization, Harpreet Ghuman
158,What Makes a Good Data Visualization – a Data Scientist perspective,2017-10-23,23,10,2017,Data Visualization, Gregory Piatetsky
159,Data Visualization – Part 1,2017-10-16,16,10,2017,Data Visualization, Scott Stoltzman
160,Data Visualization – How to Pick the Right Chart Type?,2017-10-15,15,10,2017,Data Visualization, Jānis Gulbis
161,The number of letters in the word for each number,2017-10-11,11,10,2017,Data Visualization, Erik Bernhardsson
162,Game of Thrones as a Data Visualization,2017-09-27,27,9,2017,Data Visualization, Harpreet Ghuman
163,Bundle Buddy,2017-09-18,18,9,2017,Data Visualization, Susie Lu
164,Visualising Similarity: Maps vs. Graphs,2017-09-12,12,9,2017,Data Visualization," Goran S. Milovanovic, Ph.D."
165,"Game of Thrones, Murder Network Analysis",2017-08-17,17,8,2017,Data Visualization," George McIntire, ODSC"
166,D3.Annotation: Design and Modes,2017-08-16,16,8,2017,Data Visualization, Susie Lu
167,Easy Access to All Points of Interest Data,2017-08-08,8,8,2017,Data Visualization,
168,Tutorial: Visualizing Machine Learning Models,2017-08-05,5,8,2017,Data Visualization, Charles Givre
169,WHO Tuberculosis Data & ggplot2,2017-08-02,2,8,2017,Data Visualization, Eugene Joh
170,Farmer’s Markets,2017-07-27,27,7,2017,Data Visualization, Susie Lu
171,Popular Music Lyrics Have Become More Negative Over the Decades,2017-07-08,8,7,2017,Data Visualization, Jack Schultz
172,A D3 Image Is Worth A Thousand Words: Interview With Morgane Ciot,2017-07-05,5,7,2017,Data Visualization, Jorge Garcia
173,Intro to D3,2017-06-24,24,6,2017,Data Visualization, Morgane Ciot
174,Song Lyrics Across the United States,2017-06-20,20,6,2017,Data Visualization, Julia Silge
175,A Machine Learning Deep Dive into My Spotify Data.,2017-06-10,10,6,2017,Data Visualization," George McIntire, ODSC"
176,What Happened on Twitter During the Champions League Final,2017-06-08,8,6,2017,Data Visualization," George McIntire, ODSC"
177,Pandas & Seaborn – A guide to handle & visualize data elegantly,2017-06-07,7,6,2017,Data Visualization, Research Engineer at Tryolabs
178,Regular Expression & Treemaps to Visualize Emergency Department Visits,2017-06-06,6,6,2017,Data Visualization, Eugene Joh
179,Introduction to Evaluating Classification Models,2017-05-26,26,5,2017,Data Visualization," Diego Arenas, ODSC"
180,Drawing a map of distributed data systems,2017-05-16,16,5,2017,Data Visualization, Martin Kleppmann
181,Choroplethr v3.6.0 is now on CRAN,2017-05-09,9,5,2017,Data Visualization,
182,NYC Pre-K Explorer,2017-04-26,26,4,2017,Data Visualization, NYC Data Science Academy
183,Exploring the Relationship between Religion and Demographics in R,2017-04-25,25,4,2017,Data Visualization, Julia Silge
184,9 ways to Level up your Data Science practice,2017-04-24,24,4,2017,Data Visualization, Domino Data Lab
185,United Airlines and Data Technologies to avoid “Turbulence”,2017-04-13,13,4,2017,Data Visualization," Diego Arenas, ODSC"
186,(Over)Simplifying Buenos Aires,2017-03-31,31,3,2017,Data Visualization, Marcelo Rinesi
187,Kaggle FIFA Stats,2016-11-12,12,11,2016,Data Visualization, Gordon Fleetwood
188,Pokémon Go Data,2016-09-12,12,9,2016,Data Visualization, Gordon Fleetwood
189,Deutsch Credit Future Telling: part 2,2016-08-22,22,8,2016,Data Visualization, Gordon Fleetwood
190,Calculating Receptive Field for Convolutional Neural Networks,2024-07-26,26,7,2024,Deep Learning, ODSC Community
191,Podcast: Deep Reinforcement Learning in the Real World with Anna Goldie,2024-04-08,8,4,2024,Deep Learning, ODSC Team
192,Deep Learning for Time Series Analysis: A Keras Tutorial,2024-03-18,18,3,2024,Deep Learning, April Miller
193,Fast Option Pricing Using Deep Learning Methods,2023-03-27,27,3,2023,Deep Learning, ODSC Community
194,Why Data Scale Size Matters When It Comes to Improving Deep Learning Model Stability,2022-12-12,12,12,2022,Deep Learning, April Miller
195,Understanding Your Neural Network’s Predictions,2022-11-11,11,11,2022,Deep Learning, ODSC Community
196,TensorFlow Ecosystem for Efficient Deep Learning,2022-10-03,3,10,2022,Deep Learning, ODSC Community
197,How to Choose the Right Activation Function for Neural Networks,2022-09-26,26,9,2022,Deep Learning, April Miller
198,Daniel Voigt Godoy on Deep Learning and Starting PyTorch,2022-08-18,18,8,2022,Deep Learning, ODSC Team
199,Large Scale Deep Learning Using the High-Performance Computing Libraries OpenMPI and DeepSpeed,2022-08-01,1,8,2022,Deep Learning, ODSC Community
200,Understanding Your Neural Network’s Predictions,2022-07-26,26,7,2022,Deep Learning, ODSC Community
201,How a Neural Network Sees a Cat,2022-07-12,12,7,2022,Deep Learning, ODSC Community
202,Portrait Depth API: Turning a Single Image into a 3D Photo with TensorFlow.js,2022-05-23,23,5,2022,Deep Learning, ODSC Community
203,Practical Quantization in PyTorch,2022-05-10,10,5,2022,Deep Learning, ODSC Community
204,Making Deep Learning Climate-Friendly,2022-05-03,3,5,2022,Deep Learning, ODSC Community
205,Using Distillation to Protect Your Neural Networks,2022-05-03,3,5,2022,Deep Learning, ODSC Community
206,AI Trained to Generate Novel Molecular Materials with a Generative Graph Grammar Model,2022-04-29,29,4,2022,Deep Learning, April Miller
207,Recurrent Neural Networks for Financial Time Series Prediction,2022-04-26,26,4,2022,Deep Learning, ODSC Community
208,How to Determine the Optimal Learning Rate of Your Neural Network,2022-04-25,25,4,2022,Deep Learning, April Miller
209,Google AI Introduces New DeepCTRL Method to Train Models,2022-04-11,11,4,2022,Deep Learning, April Miller
210,Matrices and Their Connection to Graphs,2022-04-04,4,4,2022,Deep Learning, ODSC Community
211,Getting Started with Vector-Based Search,2022-03-16,16,3,2022,Deep Learning, ODSC Community
212,Repo of the Week: Instant Neural Graphics Primitives,2022-03-12,12,3,2022,Deep Learning, ODSC Team
213,Higher-level PyTorch APIs: A short introduction to PyTorch Lightning ,2022-03-07,7,3,2022,Deep Learning, ODSC Community
214,Benchmarking a Computer Vision Deep Learning Pipeline with Distributed Computing,2022-03-04,4,3,2022,Deep Learning, ODSC Community
215,TensorFlow for Computer Vision – Transfer Learning Made Easy,2022-03-04,4,3,2022,Deep Learning,
216,Melting Pot and the Reverse-Engineering Approach to Multi-Agent Artificial General Intelligence,2022-02-15,15,2,2022,Deep Learning, ODSC Community
217,Recap of the First ODSC Ai+ Deep Learning Bootcamp Session,2022-02-10,10,2,2022,Deep Learning, ODSC Team
218,Guidelines for Choosing an Optimizer and Loss Functions When Training Neural Networks,2022-02-07,7,2,2022,Deep Learning, April Miller
219,The ODSC Warmup Guide to Keras,2022-02-01,1,2,2022,Deep Learning, ODSC Team
220,Google AI Proposes Temporal Fusion Transformer for Multi-Horizon Time Series Forecasting,2022-01-24,24,1,2022,Deep Learning, April Miller
221,Facebook AI and University of Guelph Open-Sources GHN-2 for Fast Initiation of Deep Learning Models,2022-01-13,13,1,2022,Deep Learning, April Miller
222,"Jon Krohn on Deep Learning Advancements, PyTorch Lightning, and Going Beyond ML",2022-01-12,12,1,2022,Deep Learning, ODSC Team
223,Reviewing the TensorFlow Decision Forests Library,2022-01-04,4,1,2022,Deep Learning, Parul Pandey
224,Get the Deep Learning Training You Need to Excel With This New Bootcamp,2021-12-20,20,12,2021,Deep Learning, ODSC Team
225,"The Simple, Elegant Idea Behind Face-Swap Deepfakes",2021-11-01,1,11,2021,Deep Learning, ODSC Community
226,Who Else Wants to Know the Mystery Behind GANs?,2021-10-18,18,10,2021,Deep Learning, ODSC Community
227,The Warmup Guide to OpenAI Gym,2021-09-24,24,9,2021,Deep Learning, ODSC Team
228,How to Get Started with Deep Reinforcement Learning on a Variety of Use Cases,2021-08-25,25,8,2021,Deep Learning, ODSC Community
229,Best Deep Learning Research of 2021 So Far,2021-08-02,2,8,2021,Deep Learning," Daniel Gutierrez, ODSC"
230,Reinforcement Learning: The Next Frontier,2021-06-23,23,6,2021,Deep Learning, ODSC Community
231,Facial Landmarks – a Solution in Deepfakes,2021-06-03,3,6,2021,Deep Learning, ODSC Community
232,Audio-Visual Speech Enhancement and Separation Based on Deep Learning,2021-05-21,21,5,2021,Deep Learning, ODSC Community
233,Adversarial Image Explanation Through Alibi,2021-05-07,7,5,2021,Deep Learning, ODSC Community
234,Music to My Mechanical Ears: Exploring the Rimworld of Sound Space: Episode 1,2021-04-29,29,4,2021,Deep Learning, ODSC Community
235,Brand Voice: Deep Learning for Speech Synthesis,2021-03-01,1,3,2021,Deep Learning, ODSC Community
236,Fake News: Where Do We Stand in the Fight Against Disinformation,2021-02-23,23,2,2021,Deep Learning, ODSC Community
237,"PyTorch Lightning: From Research to Production, Minus the Boilerplate",2021-02-23,23,2,2021,Deep Learning, ODSC Team
238,Why TensorFlow Will Stand Out on Your Resume in 2021,2020-11-23,23,11,2020,Deep Learning," Alex Landa, ODSC"
239,Understanding the Temporal Difference Learning and its Predication ,2020-11-12,12,11,2020,Deep Learning, ODSC Community
240,Deep Learning-Driven Text Summarization & Explainability with Reuters News Data,2020-09-28,28,9,2020,Deep Learning, ODSC Community
241,Why I Love Keras and Why You Should Too,2020-09-09,9,9,2020,Deep Learning, ODSC Community
242,Active Learning: Why Some Data Are More Equal Than Others,2020-09-07,7,9,2020,Deep Learning, ODSC Community
243,Introduction to Bayesian Deep Learning,2020-07-21,21,7,2020,Deep Learning," Daniel Gutierrez, ODSC"
244,Enhancing Satellite Imagery Through Super-Resolution,2020-07-14,14,7,2020,Deep Learning, ODSC Community
245,Recurrent Neural Networks in the Cloud and Edge,2020-07-13,13,7,2020,Deep Learning, ODSC Community
246,Image Detection as a Service,2020-07-06,6,7,2020,Deep Learning, ODSC Community
247,Deep Learning with TensorFlow 2 & PyTorch,2020-06-26,26,6,2020,Deep Learning, ODSC Team
248,Creating Typography Using Word Cloud in Python,2020-06-25,25,6,2020,Deep Learning, ODSC Community
249,Processing Images Through Segmentation Algorithms,2020-06-15,15,6,2020,Deep Learning, ODSC Community
250,A Look Inside the AI Runtime from Microsoft,2020-06-10,10,6,2020,Deep Learning, ODSC Community
251,Neural Network Optimization,2020-04-15,15,4,2020,Deep Learning, Matthew Stewart
252,Deep Learning Talks Coming to the ODSC Virtual Conference April 14-17,2020-04-10,10,4,2020,Deep Learning, ODSC Team
253,Keras Metrics: Everything You Need To Know,2020-03-30,30,3,2020,Deep Learning, ODSC Community
254,Variational Auto-Encoders for Customer Insight,2020-03-06,6,3,2020,Deep Learning, ODSC Community
255,Mixing Topology and Deep Learning with PersLay,2020-03-02,2,3,2020,Deep Learning, Mathieu Carrière
256,5 Deep Learning Frameworks to Consider for 2020,2020-02-24,24,2,2020,Deep Learning, ODSC Community
257,Deep Q-Learning Algorithm in Reinforcement Learning,2020-02-21,21,2,2020,Deep Learning, ODSC Community
